waste_point_id,level_pct,days_since_last_collection
kondele,13,4
kondele,41,9
kondele,27,8
kondele,79,4
kondele,85,3
kondele,14,14
kondele,21,1
kondele,39,7
kondele,87,17
kondele,81,1
kondele,79,7
kondele,38,14
kondele,85,15
kondele,10,9
kondele,64,6
kondele,45,11
kondele,37,5
kondele,23,11
kondele,58,3
kondele,55,4
kondele,87,12
kondele,15,9
kondele,78,15
kondele,58,4
kondele,80,3
nyalenda,90,10
nyalenda,56,20
nyalenda,34,19
nyalenda,15,3
nyalenda,47,8
nyalenda,39,3
nyalenda,58,4
nyalenda,68,9
nyalenda,30,12
nyalenda,55,12
nyalenda,44,7
nyalenda,87,3
nyalenda,78,6
nyalenda,30,8
nyalenda,58,15
nyalenda,81,9
nyalenda,51,8
nyalenda,39,2
nyalenda,50,2
nyalenda,44,13
nyalenda,37,3
nyalenda,50,19
nyalenda,73,7
nyalenda,68,13
nyalenda,43,5
market-a,41,5
market-a,78,18
market-a,84,9
market-a,84,14
market-a,56,13
market-a,27,8
market-a,73,17
market-a,16,3
market-a,29,4
market-a,64,6
market-a,18,20
market-a,58,13
market-a,69,20
market-a,42,17
market-a,11,18
market-a,78,4
market-a,53,9
market-a,47,4
market-a,30,14
market-a,10,15
market-a,74,9
market-a,74,6
market-a,90,4
market-a,74,10
market-a,35,20
manyatta,57,5
manyatta,79,6
manyatta,10,17
manyatta,51,20
manyatta,12,16
manyatta,56,4
manyatta,40,10
manyatta,40,2
manyatta,20,19
manyatta,72,3
manyatta,78,3
manyatta,26,5
manyatta,80,16
manyatta,43,6
manyatta,87,17
manyatta,37,14
manyatta,35,18
manyatta,61,10
manyatta,66,12
manyatta,67,17
manyatta,41,4
manyatta,18,8
manyatta,12,11
manyatta,80,19
manyatta,85,8
